SampleId,RunId,Barcode,CreatedDate,OverallResult,Assay.Name,Assay.Version,Assay.Classification,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADF_NTC_1,5,SC2A20144,1/1/1970 1:30,Invalid,,,Ruo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleId,RunId,LysisType,LysisReadings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADF_NTC_1,5,Time,2454,5352,6439,8406,10400,12400,14403,16401,18405,20401,22401,24402,26400,28403,30404,32401,34402,36401,38401,40400,42402,44403,46400,48402,50400,52403,54402,56401,58401,60406,62401,64400,66401,68400,70405,72765,74748,76749,78747,80751,82748,84749,86749,88750,90747,92750,94751,96750,98751,100751,102752,104750,106752,108747,110749,112748,114754,116753,118753,120748,122749,124750,126758,128752,130753,132753,134748,136753,138750,140757,142750,144754,146749,148749,150752,152749,154749,156755,158748,160751,162750,164751,166753,168755,170756,172745,174748,176751,178745,180753,182752,184745,186751,188750,190752,192745,194750,196755,198749,200746,202751,204750,206747,208745,210751,212751,214751,216746,218750,220752,222749,224748,226750,228751,230748,232748,234755,236750,238749,240747,242751,244753,246750,248747,250749,252747,254748,256748,258750,260745,262748,264748,266748,268752,270749,272750,274750,276750,278750,280748,282751,284752,286747,288749,290747,292748,294747,296748,298747,300754,302748,304746,306748,308748,310748,312746,314748,316748,318747,320746,322747,324750,326748,328747,330750,332754,334748,336749,338753,340754,342749,344754,346750,348753,350750,352770,354751,356746,358749,360751,362747,364748,366747,368750,370752
ADF_NTC_1,5,Temp,33.02,38.03,39.8,42.86,45.79,48.59,51.26,53.79,56.23,58.55,60.79,62.95,65.01,67.04,68.97,70.88,72.17,73.68,75.43,77.13,78.79,80.39,81.94,83.46,84.92,86.35,87.76,89.13,90.48,91.77,93.06,94.33,95.59,96.82,98,99.74,98.72,99.75,100.89,101.38,102.42,103.39,104.38,105.32,106.25,107.19,107.85,107.27,107.43,106.88,106.51,106.29,105.66,105.46,105.04,104.67,104.43,104,103.78,103.43,103.29,102.57,102.61,102.57,101.93,102.19,101.61,101.65,101.39,101.18,101.11,100.84,100.77,100.6,100.42,100.35,100.19,100.14,99.93,99.89,99.78,99.68,99.62,99.51,99.1,99.6,99.09,99.35,99.1,99.09,99.1,98.93,98.98,98.87,98.85,98.8,98.75,98.72,98.66,98.68,98.59,98.55,98.55,98.51,98.54,98.55,98.35,98.29,98.58,98.16,98.53,98.2,98.42,98.3,98.29,98.32,98.2,98.31,98.19,98.28,98.23,98.22,98.22,98.16,98.2,98.18,98.14,98.34,98.07,97.86,98.32,97.94,98.22,98.07,98.09,98.18,98.04,98.14,98.06,98.1,98.1,98.06,98.09,98.07,98.09,98.05,98.1,98.05,98.05,98.06,98.17,97.88,98.01,98.14,97.87,98.22,97.92,98.14,98.01,98.03,98.1,97.99,98.11,97.97,98.06,98.05,97.99,98.1,97.99,98.07,98.01,98.05,98.04,98.14,97.71,98.28,97.92,98.05,98.09,97.9,98.16,97.9,98.09,98,98.03
"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Type,TargetName,Result,VoltageDifference,Readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Time,,,0,10004,19998,29997,39996,49998,59996,69995,79999,89995,99998,109996,119998,130000,139998,150000,159999,169997,179999,189996,199999,209999,219997,229999,239995,249996,259999,269996,279997,289996,299996,309997,319998,329997,339998,349998,360001,369998,379999,389998,399999,409999,419998,429996,439996,449998,459998,469999,479997,489998,499999,509998,519996,529996,539997,549999,559998,569998,579998,589999,599997,609998,619998,629998,639999,649996,659998,669999,679998,689997,699998,709999,719997,729999,739995,749997,759996,769999,779998,789996,799995,809995,819995,829995,839995,849996,859996,869996,879996,889996,899996,909996,919996,929996,939996,949996,959996,969996,979995,989997,999997,1009996,1019996,1030004,1039996,1049996,1059996,1069996,1079996,1089996,1099998,1109999,1119995,1129996,1139997,1149996,1160000,1169998,1179999,1189998,1199998,1209998,1219997,1229997,1240000,1249996,1259997,1269997,1279997,1289998,1299997,1309998,1319997,1329998,1339997,1350008,1359997,1369998,1379998,1389997,1399998,1409999,1419996,1430005,1439998,1449998,1459995,1469998,1480001,1489996,1499999,1509996,1519997,1529999,1539999,1549996,1560000,1569996,1579996,1589998,1599997,1610004,1620002,1629998,1640005,1649995,1659996,1669996,1679997,1689996,1699999,1709999,1719999,1729999,1739996,1749999,1759999,1769999,1780000,1789998,1799995,,,
0,CartTemp,,,0,79.65,83.47,86.88,89.85,92.5,94.51,95.19,94.96,94.54,93.64,93.49,93.03,92.58,92.05,91.45,91.03,90.55,90.05,89.22,89.06,88.65,88.23,87.79,87.25,86.95,86.55,86.19,85.62,85.41,85.09,84.75,84.41,83.98,83.76,83.49,83.19,82.68,82.6,82.38,82.12,81.88,81.57,81.4,81.19,80.97,80.51,80.53,80.37,80.19,80.01,79.75,79.66,79.51,79.35,79.05,79.02,78.91,78.78,78.65,78.43,78.39,78.28,78.17,77.88,77.92,77.84,77.75,77.66,77.52,77.47,77.38,77.31,77.01,77.11,77.07,77.01,76.94,76.8,76.8,76.75,76.69,76.5,76.56,76.52,76.48,76.42,76.28,76.32,76.28,76.23,76,76.11,76.1,76.07,76.05,75.97,75.98,75.96,75.92,75.67,75.82,75.8,75.8,75.77,75.68,75.73,75.71,75.69,75.56,75.64,75.64,75.63,75.61,75.5,75.55,75.55,75.53,75.37,75.48,75.49,75.48,75.46,75.41,75.43,75.42,75.42,75.21,75.36,75.38,75.38,75.36,75.3,75.33,75.34,75.33,75.2,75.3,75.31,75.3,75.28,75.21,75.26,75.27,75.27,75.12,75.23,75.25,75.23,75.23,75.19,75.23,75.23,75.22,75.04,75.18,75.19,75.2,75.2,75.14,75.18,75.19,75.18,74.98,75.14,75.16,75.17,75.17,75.1,75.15,75.16,75.15,75.02,75.14,75.15,75.14,75.14,75.06,75.13,75.14,75.15,,,
0,AdcTemp,,,0,21.21734694,21.4622449,21.4622449,21.70714286,21.70714286,21.70714286,21.95204082,22.19693878,22.19693878,22.44183673,22.68673469,22.93163265,23.17653061,23.42142857,23.66632653,23.91122449,24.15612245,24.40102041,24.64591837,25.13571429,25.38061224,25.6255102,25.87040816,26.11530612,26.36020408,26.60510204,26.85,27.09489796,27.33979592,27.58469388,27.82959184,28.0744898,28.31938776,28.56428571,28.80918367,28.80918367,29.05408163,29.29897959,29.54387755,29.54387755,29.78877551,30.03367347,30.27857143,30.27857143,30.52346939,30.52346939,30.76836735,31.01326531,31.01326531,31.25816327,31.50306122,31.50306122,31.74795918,31.74795918,31.99285714,31.99285714,32.2377551,32.2377551,32.48265306,32.48265306,32.48265306,32.72755102,32.72755102,32.97244898,32.97244898,32.97244898,33.21734694,33.21734694,33.21734694,33.4622449,33.4622449,33.4622449,33.70714286,33.70714286,33.70714286,33.95204082,33.95204082,33.95204082,34.19693878,34.19693878,34.19693878,34.19693878,34.19693878,34.44183673,34.44183673,34.44183673,34.68673469,34.68673469,34.68673469,34.68673469,34.93163265,34.93163265,34.93163265,34.93163265,34.93163265,34.93163265,35.17653061,35.17653061,35.17653061,35.17653061,35.42142857,35.42142857,35.42142857,35.42142857,35.42142857,35.42142857,35.66632653,35.66632653,35.66632653,35.66632653,35.66632653,35.66632653,35.91122449,35.91122449,35.91122449,35.91122449,35.91122449,35.91122449,35.91122449,36.15612245,36.15612245,36.15612245,36.15612245,36.15612245,36.15612245,36.15612245,36.15612245,36.40102041,36.40102041,36.40102041,36.40102041,36.40102041,36.40102041,36.40102041,36.64591837,36.64591837,36.64591837,36.64591837,36.64591837,36.64591837,36.64591837,36.64591837,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,36.89081633,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.13571429,37.38061224,37.13571429,37.38061224,37.38061224,37.38061224,37.38061224,37.38061224,37.38061224,37.38061224,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,37.6255102,,,
1,Target,Positive Control,NotAmplified,0,306.1294556,291.6641235,277.2674561,262.8479004,245.59021,230.9646606,215.7211304,201.4846802,190.7730103,180.3131104,172.0733643,163.8565063,157.3104858,152.0004272,147.8805542,143.5775757,139.4119263,137.2833252,133.8043213,129.4326782,125.4501343,121.7880249,118.309021,115.3335571,111.9232178,109.2224121,106.1325073,103.8665771,101.6464233,99.90692139,98.39630127,96.45080566,95.1461792,93.81866455,92.69714355,93.29223633,91.96472168,93.49822998,90.79742432,90.06500244,89.46990967,88.92059326,88.73748779,88.43994141,88.23394775,88.32550049,88.43994141,88.32550049,88.39416504,88.21105957,88.0279541,88.73748779,88.80615234,88.48571777,89.1494751,88.48571777,88.55438232,88.48571777,89.1494751,89.35546875,89.37835693,89.58435059,89.85900879,90.27099609,90.6829834,91.07208252,91.43829346,91.62139893,92.19360352,93.4753418,93.81866455,93.8873291,94.50531006,94.61975098,94.77996826,95.10040283,96.13037109,96.31347656,96.88568115,97.20611572,96.90856934,97.48077393,97.82409668,98.99139404,99.42626953,99.49493408,99.35760498,99.92980957,100.5020142,100.8453369,100.8224487,101.5319824,102.2872925,102.7450562,103.1341553,103.8894653,104.8736572,105.0567627,106.8878174,106.1553955,106.9793701,108.0322266,109.1308594,110.0921631,111.328125,112.1063232,113.1591797,113.7771606,116.4779663,117.6223755,118.5836792,119.682312,121.1242676,122.2686768,123.7792969,124.7177124,125.8850098,126.7089844,127.5787354,128.6773682,131.2179565,132.4996948,133.6898804,134.1247559,134.6511841,135.1089478,136.0931396,137.1002197,137.3748779,138.2675171,138.9770508,139.7323608,139.3890381,142.0211792,142.1127319,141.8380737,141.9296265,141.9525146,141.998291,142.7307129,143.6233521,143.5546875,143.6920166,143.737793,143.989563,144.0124512,143.989563,144.0582275,144.1268921,144.0124512,144.0582275,144.0124512,144.2642212,144.8135376,145.4544067,145.3399658,145.5230713,146.9421387,147.6974487,147.5601196,147.6287842,147.4227905,147.1710205,147.2167969,147.1710205,147.2167969,147.4914551,147.4227905,147.3312378,147.7661133,147.5143433,147.4456787,147.7661133,147.4456787,147.1252441,147.0794678,147.6516724,147.4456787,147.2854614,148.2467651,,,
